Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 39,Catching Fire,"Suzanne Collins, Suzanne Collins","Audiobook, Fantasy, Fiction, Romance, Science Fiction, Teen, Young Adult"
Knjiga 40,Catch-22,"Joseph Heller, Joseph Heller","Classics, Fiction, Historical Fiction, Humor, Literature, Novels, War"
Knjiga 41,The Girl With the Dragon Tattoo,"Stieg Larsson, Reg Keeland, Stieg Larsson","Book Club, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 42,The Adventures of Huckleberry Finn,"Mark Twain, Guy Cardwell, E.W. Kemble, Mark Twain","Adventure, Classics, Fiction, Historical Fiction, Literature, School, Young Adult"
Knjiga 43,Norwegian Wood,"Haruki Murakami, Jay Rubin, Haruki Murakami","Classics, Fiction, Japan, Japanese Literature, Literary Fiction, Novels, Romance"
Knjiga 44,Kafka on the Shore,"Haruki Murakami, Philip Gabriel, Haruki Murakami","Classics, Fantasy, Fiction, Japanese Literature, Literature, Magical Realism, Novels"
Knjiga 45,The Alchemist,"Paulo Coelho, Paulo Coelho","Book Club, Fantasy, Fiction, Novels, Philosophy, Self Help, Spirituality"
Knjiga 46,The Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams","Audiobook, Comedy, Fantasy, Fiction, Humor, Science Fiction, Science Fiction Fantasy"
Knjiga 47,The Catcher in the Rye,"J.D. Salinger, J.D. Salinger","Classics, Coming Of Age, Fiction, Literature, Novels, School, Young Adult"
Knjiga 48,Pride & Prejudice,"Jane Austen, Jane Austen, Natalie Jenner","Audiobook, Fiction, Historical, Historical Fiction, Historical Romance, Literature, Novels"
Knjiga 49,Harry Potter and the Sorcerer’s Stone,"J.K. Rowling, Olly Moss, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 50,Brave New World,"Aldous Huxley, Aldous Huxley","Audiobook, Dystopia, Fiction, Literature, Novels, School, Science Fiction"
