Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 52,The Seeing Stone,"Tony DiTerlizzi, Holly Black, Tony DiTerlizzi","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 53,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,"Bethany McLean, Peter Elkind, Bethany McLean","Audiobook, Business, Economics, Finance, History, Nonfiction, True Crime"
Knjiga 54,Executive Power,"Vince Flynn, Vince Flynn","Action, Audiobook, Espionage, Fiction, Mystery, Spy Thriller, Thriller"
Knjiga 55,The Dot,"Peter H. Reynolds, Peter H. Reynolds","Art, Childrens, Fiction, Inspirational, Picture Books, Realistic Fiction, Self Esteem"
Knjiga 56,Princess in Pink,"Meg Cabot, Meg Cabot","Chick Lit, Childrens, Contemporary, Fiction, Romance, Teen, Young Adult"
Knjiga 57,Can You Keep a Secret?,"Sophie Kinsella, Sophie Kinsella","Adult, Chick Lit, Contemporary, Contemporary Romance, Fiction, Humor, Romance"
Knjiga 58,Bare Bones,"Kathy Reichs, Kathy Reichs","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 59,Brick Lane,"Monica Ali, Monica Ali","Bangladesh, Book Club, Contemporary, Fiction, India, Literary Fiction, London"
Knjiga 60,The Wife,"Meg Wolitzer, Meg Wolitzer","Audiobook, Book Club, Contemporary, Feminism, Fiction, Literary Fiction, Novels"
Knjiga 61,The Lake House,"James  Patterson, James  Patterson","Fantasy, Fiction, Mystery, Mystery Thriller, Science Fiction, Suspense, Thriller"
Knjiga 62,美少女戦士セーラームーン 1 [Bishōjo Senshi Sailor Moon 1],"Naoko Takeuchi, 武内直子, Naoko Takeuchi","Comics, Fantasy, Fiction, Graphic Novels, Manga, Romance, Young Adult"
Knjiga 63,Ilium,"Dan Simmons, Dan Simmons","Audiobook, Fantasy, Fiction, Mythology, Science Fiction, Science Fiction Fantasy, Space Opera"
Knjiga 64,Black: The Birth of Evil,"Ted Dekker, Ted Dekker","Christian, Christian Fiction, Fantasy, Fiction, Mystery, Science Fiction, Thriller"
Knjiga 65,Out Stealing Horses,"Per Petterson, Anne Born, Per Petterson","Book Club, Contemporary, Fiction, Historical Fiction, Literary Fiction, Novels, Scandinavian Literature"
Knjiga 66,Living History,"Hillary Rodham Clinton, Hillary Rodham Clinton","Autobiography, Biography, Biography Memoir, History, Memoir, Nonfiction, Politics"
Knjiga 67,Portrait in Death,"J.D. Robb, J.D. Robb","Crime, Fiction, Futuristic, Mystery, Romance, Romantic Suspense, Suspense"
Knjiga 68,Inkheart,"Cornelia Funke, Anthea Bell, Cornelia Funke","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 69,Mister Monday,"Garth Nix, Garth Nix","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 70,The Orange Girl,"Jostein Gaarder, Jostein Gaarder","Contemporary, Fiction, Novels, Philosophy, Romance, Scandinavian Literature, Young Adult"
Knjiga 71,Lucinda's Secret,"Tony DiTerlizzi, Holly Black, Tony DiTerlizzi","Adventure, Childrens, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 72,Broken Angels,"Richard K. Morgan, Richard K. Morgan","Audiobook, Cyberpunk, Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Thriller"
Knjiga 73,Key of Knowledge,"Nora Roberts, Nora Roberts","Contemporary, Contemporary Romance, Fantasy, Fiction, Paranormal, Paranormal Romance, Romance"
Knjiga 74,"Absolute Boyfriend, Vol. 1","Yuu Watase, Yuu Watase","Comics, Fantasy, Graphic Novels, Manga, Romance, Shojo, Young Adult"
Knjiga 75,The Shop on Blossom Street,"Debbie Macomber, Debbie Macomber","Audiobook, Chick Lit, Contemporary, Contemporary Romance, Fiction, Knitting, Romance"
Knjiga 76,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 01","Clamp, Anthony Gerard, Clamp","Adventure, Comics, Comics Manga, Fantasy, Graphic Novels, Manga, Romance"
Knjiga 77,Key of Valor,"Nora Roberts, Nora Roberts","Contemporary, Contemporary Romance, Fantasy, Fiction, Paranormal, Paranormal Romance, Romance"
Knjiga 78,Still Life With Crows,"Douglas Preston, Lincoln Child, Douglas Preston","Crime, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
